Model,Xviewer,
BlockNumber,1,
TraceName,CH1,CH2
BlockSize,10010,10010
Date,25-05-2022,25-05-2022
Time,39:35.8,39:35.8
VUnit,V,V
HResolution,5.00E-06,5.00E-06
HOffset,-2.50E-02,-2.50E-02
HUnit,s,s
,2.433333,4.08
,2.42,4.086667
,2.426667,4.066667
,2.416667,4.066667
,2.426667,4.08
,2.416667,4.08
,2.426667,4.066667
,2.433333,4.08
,2.433333,4.086667
,2.42,4.066667
,2.42,4.08
,2.433333,4.086667
,2.433333,4.053333
,2.41,4.086667
,2.426667,4.08
,2.426667,4.08
,2.44,4.08
,2.433333,4.08
,2.416667,4.08
,2.426667,4.08
,2.42,4.086667
,2.433333,4.08
,2.42,4.086667
,2.41,4.086667
,2.42,4.066667
,2.426667,4.08
,2.433333,4.086667
,2.426667,4.066667
,2.426667,4.08
,2.433333,4.086667
,2.433333,4.086667
,2.426667,4.086667
,2.426667,4.086667
,2.426667,4.086667
,2.426667,4.086667
,2.426667,4.086667
,2.426667,4.08
,2.433333,4.086667
,2.426667,4.1
,2.426667,4.086667
,2.426667,4.086667
,2.42,4.086667
,2.426667,4.086667
,2.42,4.086667
,2.426667,4.08
,2.42,4.08
,2.426667,4.08
,2.433333,4.086667
,2.426667,4.1
,2.426667,4.086667
,2.426667,4.1
,2.426667,4.086667
,2.44,4.086667
,2.44,4.086667
,2.42,4.1
,2.42,4.086667
,2.433333,4.08
,2.426667,4.1
,2.446667,4.1
,2.42,4.086667
,2.433333,4.08
,2.433333,4.08
,2.42,4.086667
,2.426667,4.08
,2.433333,4.1
,2.42,4.1
,2.426667,4.1
,2.426667,4.1
,2.426667,4.08
,2.426667,4.1
,2.433333,4.086667
,2.433333,4.086667
,2.42,4.08
,2.426667,4.113333
,2.426667,4.1
,2.426667,4.1
,2.433333,4.086667
,2.42,4.086667
,2.44,4.1
,2.416667,4.1
,2.426667,4.1
,2.433333,4.086667
,2.433333,4.1
,2.42,4.1
,2.426667,4.1
,2.44,4.1
,2.426667,4.113333
,2.42,4.113333
,2.446667,4.1
,2.44,4.1
,2.433333,4.113333
,2.44,4.1
,2.433333,4.1
,2.426667,4.1
,2.433333,4.1
,2.44,4.113333
,2.42,4.113333
,2.426667,4.113333
,2.44,4.1
,2.433333,4.113333
,2.446667,4.113333
,2.433333,4.1
,2.44,4.1
,2.44,4.113333
,2.426667,4.1
,2.433333,4.1
,2.44,4.1
,2.433333,4.1
,2.44,4.086667
,2.44,4.113333
,2.44,4.1
,2.433333,4.1
,2.433333,4.126667
,2.433333,4.113333
,2.426667,4.1
,2.42,4.086667
,2.44,4.1
,2.42,4.126667
,2.42,4.113333
,2.433333,4.113333
,2.426667,4.126667
,2.446667,4.113333
,2.44,4.1
,2.446667,4.113333
,2.433333,4.126667
,2.433333,4.113333
,2.44,4.113333
,2.433333,4.113333
,2.433333,4.113333
,2.433333,4.113333
,2.433333,4.1
,2.44,4.126667
,2.44,4.1
,2.446667,4.113333
,2.433333,4.126667
,2.44,4.113333
,2.453333,4.126667
,2.44,4.126667
,2.433333,4.113333
,2.44,4.126667
,2.433333,4.126667
,2.44,4.126667
,2.433333,4.126667
,2.44,4.126667
,2.44,4.126667
,2.446667,4.113333
,2.446667,4.126667
,2.426667,4.14
,2.446667,4.1
,2.446667,4.113333
,2.44,4.126667
,2.44,4.14
,2.446667,4.113333
,2.433333,4.14
,2.44,4.146667
,2.433333,4.126667
,2.44,4.113333
,2.44,4.14
,2.433333,4.14
,2.433333,4.14
,2.44,4.126667
,2.446667,4.126667
,2.446667,4.14
,2.44,4.113333
,2.446667,4.126667
,2.44,4.126667
,2.44,4.14
,2.433333,4.14
,2.44,4.126667
,2.453333,4.14
,2.446667,4.14
,2.433333,4.113333
,2.426667,4.14
,2.446667,4.14
,2.44,4.113333
,2.446667,4.146667
,2.44,4.146667
,2.44,4.126667
,2.446667,4.14
,2.446667,4.113333
,2.446667,4.146667
,2.433333,4.14
,2.446667,4.14
,2.44,4.146667
,2.446667,4.14
,2.453333,4.14
,2.453333,4.126667
,2.446667,4.126667
,2.446667,4.146667
,2.446667,4.146667
,2.453333,4.14
,2.44,4.146667
,2.44,4.126667
,2.446667,4.126667
,2.446667,4.14
,2.446667,4.146667
,2.44,4.146667
,2.446667,4.146667
,2.453333,4.14
,2.446667,4.146667
,2.446667,4.146667
,2.446667,4.14
,2.446667,4.14
,2.446667,4.14
,2.453333,4.146667
,2.453333,4.146667
,2.446667,4.16
,2.446667,4.146667
,2.446667,4.16
,2.456667,4.146667
,2.456667,4.16
,2.453333,4.14
,2.446667,4.146667
,2.44,4.16
,2.463333,4.146667
,2.446667,4.16
,2.453333,4.16
,2.446667,4.16
,2.453333,4.146667
,2.453333,4.16
,2.433333,4.146667
,2.463333,4.16
,2.453333,4.146667
,2.446667,4.146667
,2.453333,4.146667
,2.44,4.146667
,2.456667,4.173333
,2.463333,4.173333
,2.453333,4.16
,2.453333,4.16
,2.453333,4.16
,2.453333,4.14
,2.44,4.16
,2.453333,4.146667
,2.446667,4.16
,2.453333,4.146667
,2.453333,4.16
,2.453333,4.16
,2.433333,4.146667
,2.463333,4.16
,2.453333,4.16
,2.446667,4.16
,2.456667,4.146667
,2.453333,4.146667
,2.446667,4.16
,2.453333,4.16
,2.463333,4.16
,2.453333,4.146667
,2.453333,4.16
,2.44,4.146667
,2.44,4.16
,2.44,4.16
,2.453333,4.173333
,2.446667,4.173333
,2.456667,4.16
,2.456667,4.16
,2.453333,4.173333
,2.463333,4.186666
,2.453333,4.186666
,2.446667,4.173333
,2.47,4.173333
,2.456667,4.173333
,2.456667,4.173333
,2.456667,4.16
,2.456667,4.173333
,2.446667,4.173333
,2.463333,4.16
,2.456667,4.173333
,2.453333,4.173333
,2.453333,4.186666
,2.456667,4.173333
,2.453333,4.186666
,2.456667,4.186666
,2.453333,4.186666
,2.456667,4.16
,2.463333,4.173333
,2.463333,4.173333
,2.456667,4.186666
,2.456667,4.173333
,2.456667,4.186666
,2.453333,4.173333
,2.446667,4.186666
,2.456667,4.173333
,2.463333,4.186666
,2.463333,4.173333
,2.453333,4.16
,2.453333,4.186666
,2.456667,4.186666
,2.456667,4.173333
,2.47,4.2
,2.463333,4.186666
,2.446667,4.186666
,2.463333,4.2
,2.456667,4.2
,2.453333,4.186666
,2.456667,4.173333
,2.47,4.186666
,2.463333,4.173333
,2.47,4.16
,2.453333,4.186666
,2.47,4.2
,2.463333,4.2
,2.456667,4.186666
,2.463333,4.186666
,2.456667,4.186666
,2.456667,4.186666
,2.456667,4.173333
,2.456667,4.186666
,2.463333,4.2
,2.463333,4.186666
,2.456667,4.186666
,2.463333,4.2
,2.456667,4.173333
,2.463333,4.173333
,2.47,4.2
,2.463333,4.213333
,2.47,4.186666
,2.463333,4.2
,2.47,4.2
,2.47,4.186666
,2.476667,4.186666
,2.463333,4.186666
,2.476667,4.186666
,2.47,4.2
,2.463333,4.2
,2.463333,4.2
,2.463333,4.213333
,2.463333,4.213333
,2.463333,4.2
,2.47,4.186666
,2.453333,4.2
,2.476667,4.186666
,2.456667,4.213333
,2.47,4.213333
,2.476667,4.186666
,2.47,4.2
,2.463333,4.2
,2.463333,4.213333
,2.47,4.213333
,2.47,4.213333
,2.47,4.213333
,2.476667,4.213333
,2.47,4.213333
,2.463333,4.213333
,2.463333,4.213333
,2.463333,4.2
,2.463333,4.2
,2.47,4.213333
,2.476667,4.2
,2.47,4.22
,2.47,4.213333
,2.463333,4.22
,2.463333,4.213333
,2.47,4.213333
,2.47,4.213333
,2.47,4.213333
,2.476667,4.213333
,2.47,4.2
,2.476667,4.213333
,2.47,4.22
,2.476667,4.22
,2.49,4.213333
,2.483333,4.22
,2.463333,4.233333
,2.47,4.213333
,2.463333,4.22
,2.47,4.22
,2.463333,4.22
,2.476667,4.213333
,2.463333,4.213333
,2.47,4.213333
,2.476667,4.2
,2.476667,4.213333
,2.476667,4.233333
,2.483333,4.22
,2.476667,4.233333
,2.476667,4.233333
,2.47,4.233333
,2.476667,4.233333
,2.47,4.22
,2.476667,4.22
,2.483333,4.233333
,2.47,4.213333
,2.476667,4.233333
,2.476667,4.233333
,2.47,4.233333
,2.483333,4.22
,2.483333,4.233333
,2.476667,4.246666
,2.476667,4.233333
,2.456667,4.22
,2.483333,4.233333
,2.49,4.233333
,2.47,4.246666
,2.476667,4.233333
,2.476667,4.213333
,2.483333,4.22
,2.47,4.233333
,2.476667,4.246666
,2.483333,4.246666
,2.47,4.233333
,2.47,4.233333
,2.476667,4.233333
,2.49,4.233333
,2.476667,4.246666
,2.476667,4.26
,2.483333,4.233333
,2.483333,4.246666
,2.483333,4.246666
,2.493333,4.233333
,2.49,4.233333
,2.493333,4.22
,2.476667,4.246666
,2.463333,4.233333
,2.483333,4.26
,2.49,4.26
,2.483333,4.233333
,2.476667,4.233333
,2.493333,4.233333
,2.49,4.246666
,2.49,4.26
,2.483333,4.246666
,2.49,4.246666
,2.483333,4.233333
,2.49,4.246666
,2.49,4.22
,2.493333,4.246666
,2.476667,4.26
,2.483333,4.246666
,2.49,4.246666
,2.49,4.246666
,2.483333,4.26
,2.483333,4.26
,2.483333,4.26
,2.49,4.246666
,2.49,4.26
,2.493333,4.246666
,2.49,4.26
,2.493333,4.246666
,2.493333,4.26
,2.5,4.26
,2.49,4.273334
,2.483333,4.246666
,2.493333,4.26
,2.49,4.246666
,2.483333,4.26
,2.49,4.273334
,2.493333,4.26
,2.483333,4.26
,2.493333,4.26
,2.493333,4.26
,2.49,4.273334
,2.493333,4.26
,2.49,4.26
,2.49,4.26
,2.493333,4.246666
,2.5,4.273334
,2.483333,4.273334
,2.49,4.286667
,2.483333,4.273334
,2.493333,4.273334
,2.493333,4.273334
,2.49,4.26
,2.493333,4.273334
,2.493333,4.273334
,2.483333,4.273334
,2.5,4.246666
,2.483333,4.273334
,2.493333,4.273334
,2.493333,4.286667
,2.506667,4.286667
,2.5,4.273334
,2.493333,4.286667
,2.49,4.273334
,2.483333,4.26
,2.493333,4.273334
,2.5,4.286667
,2.493333,4.273334
,2.5,4.273334
,2.493333,4.273334
,2.493333,4.273334
,2.493333,4.286667
,2.49,4.293334
,2.5,4.286667
,2.493333,4.286667
,2.5,4.293334
,2.493333,4.306667
,2.5,4.273334
,2.506667,4.293334
,2.493333,4.286667
,2.493333,4.306667
,2.5,4.293334
,2.506667,4.306667
,2.506667,4.306667
,2.493333,4.293334
,2.5,4.286667
,2.5,4.286667
,2.5,4.293334
,2.506667,4.293334
,2.49,4.306667
,2.5,4.286667
,2.5,4.286667
,2.493333,4.273334
,2.493333,4.306667
,2.513333,4.286667
,2.5,4.306667
,2.5,4.293334
,2.493333,4.286667
,2.5,4.286667
,2.506667,4.306667
,2.5,4.293334
,2.5,4.293334
,2.5,4.286667
,2.493333,4.286667
,2.5,4.306667
,2.506667,4.306667
,2.513333,4.293334
,2.513333,4.293334
,2.506667,4.293334
,2.506667,4.293334
,2.513333,4.293334
,2.513333,4.306667
,2.5,4.306667
,2.5,4.306667
,2.506667,4.306667
,2.506667,4.306667
,2.513333,4.306667
,2.513333,4.306667
,2.52,4.306667
,2.5,4.306667
,2.506667,4.32
,2.506667,4.32
,2.506667,4.306667
,2.513333,4.306667
,2.52,4.306667
,2.506667,4.333333
,2.513333,4.306667
,2.5,4.306667
,2.506667,4.32
,2.513333,4.333333
,2.506667,4.32
,2.506667,4.333333
,2.506667,4.32
,2.523333,4.306667
,2.506667,4.333333
,2.513333,4.293334
,2.513333,4.306667
,2.52,4.293334
,2.513333,4.32
,2.513333,4.306667
,2.52,4.333333
,2.523333,4.306667
,2.52,4.32
,2.506667,4.32
,2.52,4.333333
,2.52,4.32
,2.52,4.333333
,2.52,4.32
,2.53,4.306667
,2.513333,4.32
,2.52,4.32
,2.513333,4.333333
,2.513333,4.32
,2.506667,4.346667
,2.513333,4.333333
,2.513333,4.346667
,2.506667,4.32
,2.506667,4.32
,2.513333,4.32
,2.52,4.333333
,2.52,4.333333
,2.513333,4.333333
,2.506667,4.333333
,2.5,4.333333
,2.53,4.32
,2.52,4.333333
,2.52,4.333333
,2.52,4.353333
,2.52,4.346667
,2.52,4.32
,2.52,4.333333
,2.513333,4.346667
,2.513333,4.346667
,2.523333,4.346667
,2.52,4.346667
,2.513333,4.346667
,2.523333,4.346667
,2.52,4.333333
,2.513333,4.346667
,2.506667,4.333333
,2.523333,4.353333
,2.52,4.346667
,2.513333,4.353333
,2.53,4.346667
,2.513333,4.346667
,2.52,4.346667
,2.513333,4.366667
,2.536667,4.366667
,2.523333,4.346667
,2.53,4.353333
,2.523333,4.353333
,2.52,4.353333
,2.536667,4.353333
,2.53,4.353333
,2.523333,4.353333
,2.53,4.353333
,2.536667,4.38
,2.53,4.353333
,2.513333,4.333333
,2.52,4.366667
,2.53,4.366667
,2.523333,4.353333
,2.523333,4.353333
,2.523333,4.346667
,2.53,4.346667
,2.523333,4.366667
,2.53,4.353333
,2.53,4.366667
,2.53,4.366667
,2.53,4.353333
,2.536667,4.366667
,2.523333,4.353333
,2.536667,4.353333
,2.53,4.346667
,2.536667,4.366667
,2.523333,4.346667
,2.523333,4.353333
,2.543333,4.366667
,2.523333,4.366667
,2.523333,4.366667
,2.53,4.366667
,2.536667,4.353333
,2.523333,4.38
,2.53,4.366667
,2.536667,4.366667
,2.523333,4.366667
,2.536667,4.38
,2.53,4.366667
,2.53,4.38
,2.536667,4.366667
,2.536667,4.38
,2.543333,4.38
,2.55,4.393333
,2.536667,4.393333
,2.536667,4.38
,2.536667,4.38
,2.53,4.393333
,2.53,4.393333
,2.543333,4.366667
,2.55,4.353333
,2.53,4.38
,2.536667,4.393333
,2.55,4.38
,2.536667,4.393333
,2.536667,4.393333
,2.543333,4.393333
,2.536667,4.38
,2.536667,4.406667
,2.523333,4.393333
,2.536667,4.38
,2.523333,4.393333
,2.536667,4.406667
,2.536667,4.393333
,2.55,4.393333
,2.55,4.393333
,2.53,4.38
,2.556667,4.406667
,2.536667,4.393333
,2.543333,4.38
,2.556667,4.406667
,2.536667,4.393333
,2.543333,4.38
,2.543333,4.393333
,2.55,4.38
,2.55,4.406667
,2.543333,4.393333
,2.55,4.393333
,2.543333,4.393333
,2.53,4.406667
,2.543333,4.393333
,2.543333,4.393333
,2.55,4.406667
,2.536667,4.393333
,2.543333,4.406667
,2.56,4.406667
,2.55,4.42
,2.55,4.406667
,2.543333,4.393333
,2.55,4.42
,2.55,4.406667
,2.55,4.42
,2.543333,4.42
,2.55,4.406667
,2.543333,4.406667
,2.55,4.406667
,2.543333,4.42
,2.55,4.406667
,2.55,4.406667
,2.55,4.406667
,2.536667,4.42
,2.556667,4.406667
,2.556667,4.42
,2.55,4.406667
,2.55,4.42
,2.55,4.42
,2.543333,4.426667
,2.55,4.42
,2.556667,4.426667
,2.556667,4.42
,2.556667,4.426667
,2.543333,4.406667
,2.55,4.42
,2.556667,4.42
,2.556667,4.42
,2.543333,4.426667
,2.55,4.42
,2.56,4.42
,2.556667,4.426667
,2.536667,4.426667
,2.56,4.426667
,2.556667,4.426667
,2.556667,4.426667
,2.55,4.426667
,2.566667,4.426667
,2.556667,4.42
,2.543333,4.44
,2.556667,4.426667
,2.556667,4.44
,2.556667,4.426667
,2.573333,4.44
,2.566667,4.426667
,2.56,4.42
,2.55,4.426667
,2.56,4.426667
,2.556667,4.44
,2.566667,4.453333
,2.566667,4.44
,2.543333,4.426667
,2.56,4.44
,2.566667,4.426667
,2.56,4.44
,2.556667,4.453333
,2.55,4.44
,2.566667,4.453333
,2.556667,4.426667
,2.556667,4.453333
,2.56,4.44
,2.56,4.453333
,2.573333,4.453333
,2.56,4.44
,2.566667,4.44
,2.556667,4.42
,2.566667,4.44
,2.56,4.44
,2.56,4.453333
,2.566667,4.453333
,2.58,4.426667
,2.56,4.453333
,2.573333,4.44
,2.573333,4.453333
,2.566667,4.453333
,2.556667,4.44
,2.566667,4.453333
,2.573333,4.44
,2.56,4.44
,2.566667,4.44
,2.566667,4.453333
,2.556667,4.453333
,2.573333,4.466667
